Review	Liked
La comida llegó con mal olor y parecía poco fresca. No lo recomiendo.	0
Excelente relación calidad-precio, muy recomendable. ¡Muy contento!	1
La aplicación es difícil de usar y no es intuitiva.	0
Recibí mi pedido a tiempo y todo estaba en perfectas condiciones. ¡Excelente servicio!	1
La comida no tenía el sabor prometido, muy insatisfecho. No volveré a pedir.	0
Las opciones de bebidas disponibles complementan perfectamente los platos. ¡Buen detalle!	1
El repartidor se retrasó y no avisó sobre el cambio de horario. Muy molesto.	0
Me gusta que utilizan empaques ecológicos y sostenibles. ¡Muy responsable!	1
La entrega llegó tarde y la comida estaba fría. Muy decepcionado.	0
La comida llegó muy rápido y estaba deliciosa.	1
El repartidor se perdió y la comida llegó fría.	0
Todo perfecto, repetiré seguro.	1
Muy caro para lo poco que ofrecen.	0
Excelente atención al cliente, resolvieron mi problema al instante.	1
La pizza llegó con ingredientes faltantes.	0
Me encantó el sabor de los platos, muy recomendados.	1
El tiempo de entrega fue excesivo, tardaron más de una hora.	0
La variedad del menú es impresionante, muchas opciones.	1
La comida no estaba bien presentada y parecía poco fresca.	0
Servicio eficiente y amable, cinco estrellas.	1
Recibí el pedido equivocado y tardaron en corregirlo.	0
Las promociones son muy atractivas y los precios justos.	1
La entrega llegó tarde y el repartidor fue descortés.	0
Los postres son deliciosos, especialmente el tiramisú.	1
La comida llegó dañada y tuve que rechazarla.	0
Empaques ecológicos y bien cuidados, me gusta.	1
El sitio web es difícil de navegar y la app falla frecuentemente.	0
Las porciones son generosas y la calidad excelente.	1
No cumplen con los tiempos de entrega prometidos, muy frustrante.	0
La comida estuvo increíble, superó mis expectativas.	1
El repartidor no tenía el número correcto y se retrasó.	0
Muy satisfecho con el servicio, volveré a ordenar.	1
La comida llegó con mal olor, no la pude consumir.	0
El menú ofrece opciones saludables, me encanta.	1
La app se bloquea al intentar hacer el pedido.	0
Excelente relación calidad-precio, recomendable.	1
La entrega fue en mal estado, muy decepcionado.	0
Los platos estaban bien presentados y sabrosos.	1
Tardaron demasiado en llegar, no lo recomiendo.	0
Atención al cliente muy amable y resolutiva.	1
La comida estaba fría al momento de recibirla.	0
Me gusta la variedad de postres que ofrecen.	1
El pedido llegó incompleto, tuve que esperar más.	0
La interfaz de la app es muy intuitiva y fácil de usar.	1
La comida no coincidía con lo que pedí, muy mal.	0
Los ingredientes son frescos y de buena calidad.	1
El repartidor fue muy descortés, mala experiencia.	0
Pedido rápido y comida deliciosa, cinco estrellas.	1
La entrega llegó con retraso y sin avisar.	0
Me encanta la opción de personalizar los platos.	1
La comida llegó mal empaquetada y se derramó.	0
Gran selección de platos internacionales.	1
El servicio de atención al cliente no responde.	0
Las porciones son adecuadas y el sabor excelente.	1
Recibí la comida en mal estado, muy insatisfecho.	0
El proceso de pedido es sencillo y rápido.	1
La entrega fue confusa y tuve que buscar el pedido.	0
Comida sabrosa y presentación impecable.	1
El repartidor no respetó las indicaciones de entrega.	0
Las opciones vegetarianas son variadas y deliciosas.	1
Tuve que esperar mucho tiempo para que llegara mi pedido.	0
Excelente servicio, volveré a utilizar la plataforma.	1
La comida llegó con errores en los pedidos.	0
Me gustó la rapidez con la que atendieron mi pedido.	1
El embalaje no protegió bien la comida, llegó desordenada.	0
La aplicación es muy fácil de usar y navegar.	1
La calidad de la comida no es la esperada.	0
Muy contento con la variedad de bebidas disponibles.	1
El repartidor no tenía identificación y me preocupó.	0
La comida llegó a tiempo y estaba perfecta.	1
El servicio fue lento y poco profesional.	0
Las recetas son auténticas y muy sabrosas.	1
Tuve problemas para cancelar mi pedido, frustrante.	0
La plataforma ofrece buenas promociones y descuentos.	1
La comida llegó sucia y con restos de envases.	0
Excelente experiencia, todo salió como esperaba.	1
El repartidor se equivocó de dirección, muy mal.	0
Los platos son abundantes y bien preparados.	1
La entrega fue desorganizada y tardó mucho.	0
La comida es de alta calidad y muy deliciosa.	1
No hay suficiente información sobre los ingredientes.	0
Me encanta la puntualidad en las entregas.	1
La comida llegó sin los acompañamientos que pedí.	0
Buen servicio y comida excelente, lo recomiendo.	1
El repartidor fue grosero y no se disculpó.	0
Variedad de opciones para todos los gustos.	1
La comida estaba demasiado salada, no pude comerla.	0
La aplicación ofrece seguimiento en tiempo real del pedido.	1
El pedido llegó tarde y sin empaquetar correctamente.	0
Los precios son competitivos y la calidad destaca.	1
La comida llegó desordenada y derramó líquidos.	0
Servicio rápido y comida deliciosa, perfecto.	1
El repartidor se perdió y tardó en llegar.	0
La presentación de los platos es excelente.	1
Tuve que esperar más de lo prometido para recibir mi pedido.	0
Las opciones sin gluten son limitadas.	1
La comida llegó con mal sabor y poco apetecible.	0
Excelente selección de platos y sabores únicos.	1
La entrega fue ineficiente y desorganizada.	0
Me gustó la rapidez y la calidad de los alimentos.	1
El sitio web está lleno de errores y es difícil de usar.	0
Los postres son un verdadero deleite, muy recomendables.	1
Recibí el pedido con productos faltantes.	0
El proceso de pago es seguro y fácil de usar.	1
La comida llegó fría y sin sabor.	0
Gran variedad de opciones para todos los gustos.	1
El repartidor no respetó las indicaciones de entrega.	0
Me encantó la frescura de los ingredientes utilizados.	1
La entrega llegó muy tarde y sin aviso previo.	0
Excelente atención y comida deliciosa.	1
La comida no estaba bien cocida, muy decepcionado.	0
Las opciones veganas son variadas y sabrosas.	1
Tuve que llamar varias veces para obtener mi pedido.	0
La app es intuitiva y fácil de navegar.	1
La comida llegó en mal estado, no pude consumirla.	0
Servicio al cliente eficiente y amigable.	1
El repartidor llegó sin identificación adecuada.	0
La calidad de la comida supera mis expectativas.	1
La entrega fue muy lenta y sin comunicación.	0
Me gusta la variedad de salsas y aderezos disponibles.	1
La comida llegó con envases dañados y sucios.	0
Excelente relación calidad-precio en todos los platos.	1
Recibí un pedido incorrecto y no lo solucionaron.	0
La plataforma es muy fácil de usar y eficiente.	1
La comida llegó con mal sabor y poco fresco.	0
Las opciones de menú son innovadoras y deliciosas.	1
Tuve problemas para rastrear mi pedido en la app.	0
Servicio rápido y alimentos de alta calidad.	1
El repartidor no fue puntual y me molestó.	0
La presentación de la comida es impecable.	1
La comida llegó con errores y sin algunos ingredientes.	0
Me encanta la variedad de opciones saludables.	1
La entrega fue desorganizada y tardó mucho tiempo.	0
Excelente calidad en todos los platos que probé.	1
La comida llegó sin los acompañamientos pedidos.	0
La app ofrece muchas opciones de personalización.	1
Recibí la comida fría y sin sabor.	0
Buen servicio al cliente y atención personalizada.	1
El repartidor fue descortés y poco profesional.	0
Las porciones son generosas y muy sabrosas.	1
La comida llegó tarde y sin embalaje adecuado.	0
Me encanta la rapidez en las entregas.	1
La comida no cumplió con mis expectativas, muy mal.	0
Gran selección de platos para todos los gustos.	1
Tuve que esperar mucho para recibir mi pedido.	0
El servicio es excelente y la comida deliciosa.	1
La entrega llegó en mal estado, muy insatisfecho.	0
Las opciones sin lactosa son adecuadas y sabrosas.	1
La comida llegó con errores en el pedido.	0
Me gusta la variedad de opciones de menú disponibles.	1
El repartidor se retrasó y no avisó.	0
Excelente calidad y sabor en todos los platos.	1
La comida llegó fría y con mal olor.	0
La plataforma es fácil de usar y muy eficiente.	1
Recibí un pedido incompleto y sin solución.	0
Me encanta la frescura de los ingredientes utilizados.	1
La entrega fue muy lenta y sin comunicación.	0
Excelente atención al cliente y servicio rápido.	1
La comida no estaba bien presentada, muy decepcionado.	0
Las opciones vegetarianas son deliciosas y variadas.	1
Tuve que llamar varias veces para recibir mi pedido.	0
La app funciona perfectamente y es muy intuitiva.	1
La comida llegó en mal estado y no la pude comer.	0
Servicio eficiente y entrega rápida, muy satisfecho.	1
El repartidor fue grosero y no se disculpó.	0
La calidad de la comida es excelente, muy recomendada.	1
Excelente calidad y sabor en todos los platos.	1
La comida llegó en menos de 30 minutos y todo estaba perfectamente caliente.	1
Tuve que esperar más de una hora y la pizza llegó fría.	0
Excelente servicio al cliente, respondieron todas mis dudas rápidamente.	1
El menú es muy limitado y no encontré opciones vegetarianas.	0
Me encantó la variedad de postres que ofrecen, especialmente el tiramisú.	1
El repartidor fue muy descortés y no respetó las indicaciones de entrega.	0
La calidad de los ingredientes es notable, se nota que es comida casera.	1
La aplicación tiene muchos errores y me costó hacer el pedido.	0
Recibí mi pedido completo y a tiempo, muy satisfecho.	1
La comida no tenía el sabor esperado, muy decepcionado.	0
Los precios son razonables considerando la calidad de los platos.	1
La entrega llegó con productos dañados y tuve que contactar al servicio al cliente.	0
El sitio web es fácil de navegar y hacer pedidos.	1
La comida llegó tarde y faltaban algunos acompañamientos.	0
Me gusta que ofrecen opciones sin gluten y veganas en el menú.	1
Tuve problemas para rastrear mi pedido a través de la app.	0
La presentación de los platos es impecable, se ve apetitoso todo.	1
La pizza tenía demasiada grasa y poco sabor.	0
El repartidor llegó rápidamente y fue muy amable.	1
La comida llegó en mal estado y tuve que rechazarla.	0
Las promociones y descuentos que ofrecen son muy atractivos.	1
El tiempo de espera fue excesivo y no recibí ninguna notificación de retraso.	0
Me encanta la frescura de los ingredientes utilizados en cada plato.	1
La comida no cumplió con mis expectativas, especialmente el arroz estaba seco.	0
El proceso de pedido es sencillo y rápido, no tuve inconvenientes.	1
La entrega fue desorganizada y el pedido estaba incompleto.	0
Los platos son abundantes y tienen un excelente sabor.	1
La aplicación se bloquea frecuentemente, lo que dificulta hacer pedidos.	0
Servicio rápido y eficiente, definitivamente volveré a usarlo.	1
La comida llegó fría y sin los acompañamientos que pedí.	0
La variedad del menú es impresionante, hay opciones para todos los gustos.	1
Tuve que esperar mucho tiempo para recibir mi pedido y no hubo explicación.	0
Las porciones son generosas y la calidad es excelente.	1
El repartidor no respetó las indicaciones de entrega y dejó la comida en la puerta.	0
Me encanta la posibilidad de personalizar mis platos según mis preferencias.	1
La comida llegó con mal olor y parecía poco fresca.	0
Excelente relación calidad-precio, muy recomendable.	1
La aplicación es difícil de usar y no es intuitiva.	0
Recibí mi pedido a tiempo y todo estaba en perfectas condiciones.	1
La comida no tenía el sabor prometido, muy insatisfecho.	0
Las opciones de bebidas disponibles complementan perfectamente los platos.	1
El repartidor se retrasó y no avisó sobre el cambio de horario.	0
Me gusta que utilizan empaques ecológicos y sostenibles.	1
La entrega llegó tarde y la comida estaba fría.	0
¡La comida llegó súper rápido y estaba deliciosa! Definitivamente volveré a ordenar.	1
Me decepcionó mucho la pizza, llegó fría y sin queso. ¿Qué pasó?	0
Excelente servicio al cliente, resolvieron mi problema al instante. ¡Gracias!	1
El menú es muy limitado y no encontré opciones vegetarianas. Muy frustrante.	0
¡Me encantó la variedad de postres que ofrecen! El tiramisú es espectacular.	1
El repartidor fue muy descortés y no respetó las indicaciones de entrega. ¡Qué mala experiencia!	0
La calidad de los ingredientes es notable, se nota que es comida casera.	1
La aplicación tiene muchos errores y me costó hacer el pedido. ¡Muy molesto!	0
¡La comida llegó súper rápido y estaba deliciosa! Definitivamente volveré a ordenar.	1
Me decepcionó mucho la pizza, llegó fría y sin queso. ¿Qué pasó?	0
Excelente servicio al cliente, resolvieron mi problema al instante. ¡Gracias!	1
El menú es muy limitado y no encontré opciones vegetarianas. Muy frustrante.	0
¡Me encantó la variedad de postres que ofrecen! El tiramisú es espectacular.	1
El repartidor fue muy descortés y no respetó las indicaciones de entrega. ¡Qué mala experiencia!	0
La calidad de los ingredientes es notable, se nota que es comida casera.	1
La aplicación tiene muchos errores y me costó hacer el pedido. ¡Muy molesto!	0
Recibí mi pedido completo y a tiempo, muy satisfecho con el servicio.	1
La comida no tenía el sabor esperado, muy decepcionante. No lo recomiendo.	0
Los precios son razonables considerando la calidad de los platos. ¡Buen valor!	1
La entrega llegó con productos dañados y tuve que contactar al servicio al cliente. No me gustó nada.	0
El sitio web es fácil de navegar y hacer pedidos. ¡Muy intuitivo!	1
La comida llegó tarde y faltaban algunos acompañamientos. Muy insatisfecho.	0
Me gusta que ofrecen opciones sin gluten y veganas en el menú. ¡Excelente!	1
Tuve problemas para rastrear mi pedido a través de la app. ¿Por qué es tan complicado?	0
La presentación de los platos es impecable, se ve apetitoso todo. ¡Bravo!	1
La pizza tenía demasiada grasa y poco sabor. No volveré a pedirla.	0
El repartidor llegó rápidamente y fue muy amable. ¡Buen servicio!	1
La comida llegó en mal estado y tuve que rechazarla. ¡Qué pésima calidad!	0
Las promociones y descuentos que ofrecen son muy atractivos. ¡Aproveché varias!	1
El tiempo de espera fue excesivo y no recibí ninguna notificación de retraso. Muy frustrante.	0
Me encanta la frescura de los ingredientes utilizados en cada plato. ¡Delicioso!	1
La comida no cumplió con mis expectativas, especialmente el arroz estaba seco.	0
El proceso de pedido es sencillo y rápido, no tuve inconvenientes. ¡Muy bien!	1
La entrega fue desorganizada y el pedido estaba incompleto. ¡Muy mala experiencia!	0
Los platos son abundantes y tienen un excelente sabor. ¡Recomendable!	1
La aplicación se bloquea frecuentemente, lo que dificulta hacer pedidos.	0
Servicio rápido y eficiente, definitivamente volveré a usarlo. ¡Cinco estrellas!	1
La comida llegó fría y sin los acompañamientos que pedí. Muy insatisfecho.	0
La variedad del menú es impresionante, hay opciones para todos los gustos. ¡Fantástico!	1
Tuve que esperar mucho tiempo para recibir mi pedido y no hubo explicación.	0
Las porciones son generosas y la calidad es excelente. ¡Excelente relación!	1
El repartidor no respetó las indicaciones de entrega y dejó la comida en la puerta. ¡Muy mal!	0
Me encanta la posibilidad de personalizar mis platos según mis preferencias. ¡Genial!	1
La comida llegó con mal olor y parecía poco fresca. No lo recomiendo.	0
Excelente relación calidad-precio, muy recomendable. ¡Muy contento!	1
La aplicación es difícil de usar y no es intuitiva.	0
Recibí mi pedido a tiempo y todo estaba en perfectas condiciones. ¡Excelente servicio!	1
La comida no tenía el sabor prometido, muy insatisfecho. No volveré a pedir.	0
Las opciones de bebidas disponibles complementan perfectamente los platos. ¡Buen detalle!	1
El repartidor se retrasó y no avisó sobre el cambio de horario. Muy molesto.	0
Me gusta que utilizan empaques ecológicos y sostenibles. ¡Muy responsable!	1
La entrega llegó tarde y la comida estaba fría. Muy decepcionado.	0
¡Increíble experiencia! La comida llegó en tiempo récord y cada plato estaba perfectamente cocinado. El sabor era excepcional y los ingredientes frescos. Sin duda, recomendaré este servicio a mis amigos y familiares.	1
La entrega se retrasó más de lo prometido y la comida llegó fría. Intenté contactar al servicio al cliente, pero no obtuve respuesta. Muy decepcionado con esta experiencia.	0
Me encantó la variedad del menú, hay opciones para todos los gustos, incluyendo vegetarianas y sin gluten. Además, los postres son un verdadero deleite. ¡Volveré a pedir!	1
La aplicación es confusa y tiene muchos errores. Hice el pedido varias veces y terminé con duplicados. El servicio al cliente no respondió a mis mensajes. Muy frustrante.	0
¡Qué maravilla de comida! Cada bocado era una explosión de sabores y la presentación de los platos era impecable. El repartidor fue muy amable y profesional.	1
Recibí mi pedido con varios artículos faltantes y la comida no estaba en buen estado. Contacté al soporte, pero tardaron en responder y no solucionaron el problema.	0
La comida llegó rápidamente y todo estaba perfectamente caliente. Los ingredientes son de alta calidad y las porciones son generosas. Excelente relación calidad-precio.	1
Tuve una mala experiencia con el repartidor, fue descortés y no siguió las indicaciones de entrega. Además, la comida llegó dañada y fría. No volveré a pedir.	0
¡Fantástico servicio! La comida fue entregada en perfectas condiciones y a tiempo. La variedad del menú es impresionante y todo estaba delicioso. Muy satisfecho.	1
La pizza llegó muy tarde y estaba fría. Además, faltaban algunos ingredientes que había pedido. Intenté devolverla, pero el proceso fue complicado y poco claro. Muy insatisfecho.	0
Me encanta que ofrecen opciones veganas y sin lactosa en el menú. La comida es deliciosa y los empaques ecológicos son un gran plus. ¡Muy recomendable!	1
La aplicación es muy lenta y se bloquea constantemente. Hice varios intentos para realizar el pedido y terminé sin nada. El servicio al cliente no me ayudó en absoluto.	0
¡Excelente relación calidad-precio! Los platos son abundantes y están llenos de sabor. La entrega fue rápida y el repartidor muy amable. Sin duda, repetiré.	1
La comida no cumplió con mis expectativas. El arroz estaba seco y la salsa carecía de sabor. Además, la entrega fue muy lenta y el repartidor no fue cordial.	0
Estoy muy contento con la calidad de la comida y la rapidez del servicio. La presentación de los platos es hermosa y el sabor es insuperable. ¡Volveré a pedir!	1
La entrega llegó en mal estado, los empaques estaban rotos y la comida derramó. Contacté al servicio al cliente, pero no recibí ninguna respuesta. Muy decepcionado.	0
¡Maravillosa experiencia! La comida estaba deliciosa, bien presentada y llegó caliente. El proceso de pedido a través de la app fue muy sencillo y eficiente.	1
La comida llegó tarde y algunos platos estaban fríos. Además, faltaban los acompañamientos que había solicitado. Intenté obtener un reembolso, pero no fue posible.	0
Me encanta la frescura de los ingredientes y la creatividad de los platos. Cada pedido es una sorpresa deliciosa. El servicio al cliente es muy atento y resolutivo.	1
La aplicación es muy difícil de usar y tiene muchos fallos. Hice el pedido dos veces por error y no pude cancelar uno de ellos. El servicio al cliente no me ayudó a resolverlo.	0
¡Excelente calidad en cada plato! La comida es sabrosa, bien sazonada y los ingredientes son frescos. La entrega fue puntual y el repartidor muy cordial.	1
La comida no tenía buen sabor y estaba demasiado salada. Además, la entrega fue muy lenta y el repartidor no se disculpó por el retraso. Muy insatisfecho.	0
Estoy muy satisfecho con el servicio. La comida llegó rápida y perfectamente caliente. Los postres son exquisitos y el menú tiene muchas opciones. ¡Recomendable!	1
La entrega llegó tarde y la comida estaba fría. Intenté contactar al servicio al cliente para solucionar el problema, pero no obtuve respuesta. Muy decepcionado.	0
¡Qué buen servicio! La comida llegó a tiempo, bien empaquetada y con excelente presentación. El sabor de los platos es inigualable. Definitivamente volveré a ordenar.	1
La aplicación es lenta y tiene muchos errores. Hice el pedido varias veces y terminé con duplicados. El servicio al cliente no respondió a mis consultas. Muy frustrante.	0
Me encanta la variedad de opciones en el menú y la calidad de la comida. Cada pedido es una delicia y la entrega es siempre puntual. ¡Cinco estrellas!	1
La comida llegó en mal estado y faltaban varios artículos que había pedido. Contacté al soporte, pero no me ayudaron a resolver el problema. Muy insatisfecho.	0
¡Excelente atención! El repartidor fue muy amable y la comida llegó en perfectas condiciones. Los sabores de los platos son increíbles y la presentación es hermosa.	1
La comida no tenía el sabor prometido y los ingredientes parecían de mala calidad. Además, la entrega fue muy lenta y el repartidor no fue cordial.	0
Estoy muy contento con el servicio y la calidad de la comida. La entrega fue rápida y todo estaba en perfectas condiciones. ¡Muy recomendable!	1
La entrega llegó tarde y la comida estaba fría. Intenté devolverla, pero el proceso fue complicado y no recibí respuesta del servicio al cliente.	0
¡Maravillosa experiencia! La comida llegó caliente, sabrosa y bien presentada. El repartidor fue muy profesional y amable. Sin duda, repetiré.	1
La aplicación tiene muchos bugs y es muy difícil de usar. Hice el pedido varias veces y terminé con duplicados. El servicio al cliente no respondió a mis mensajes.	0
¡Fantástico servicio! La comida fue entregada en perfectas condiciones y a tiempo. La variedad del menú es impresionante y todo estaba delicioso. Muy satisfecho.	1
La comida llegó muy tarde y estaba fría. Además, faltaban algunos ingredientes que había pedido. Intenté contactar al servicio al cliente, pero no obtuve respuesta.	0
Me encanta la frescura de los ingredientes y la presentación de los platos. Cada pedido es una sorpresa deliciosa. El servicio al cliente es muy atento y resolutivo.	1
La entrega llegó en mal estado, los empaques estaban rotos y la comida derramó. Contacté al servicio al cliente, pero no recibí ninguna respuesta. Muy decepcionado.	0
¡Excelente relación calidad-precio! Los platos son abundantes y están llenos de sabor. La entrega fue rápida y el repartidor muy amable. Sin duda, repetiré.	1
La comida no cumplió con mis expectativas. El arroz estaba seco y la salsa carecía de sabor. Además, la entrega fue muy lenta y el repartidor no fue cordial.	0
Estoy muy contento con la calidad de la comida y la rapidez del servicio. La presentación de los platos es hermosa y el sabor es insuperable. ¡Volveré a pedir!	1
La entrega llegó con productos dañados y tuve que contactar al servicio al cliente. No me gustó nada.	0
¡Maravillosa experiencia! La comida estaba deliciosa, bien presentada y llegó caliente. El proceso de pedido a través de la app fue muy sencillo y eficiente.	1

